Tiempo[s]   Memoria[bytes]   Tamaño   
0.33084199999575503   150000000   2500   
0.5645393999948283   216000000   3000   
0.8966494000051171   294000000   3500   
1.3297033999988344   384000000   4000   
2.636423299998569   600000000   5000   
5.548809699997946   1014000000   6500   
8.402419500001997   1350000000   7500   
20.132618499999808   2400000000   10000   
0.07478149999951711   24   1   
3.0000002880115062e-05   96   2   
6.70000008540228e-06   384   4   
4.800000169780105e-06   864   6   
5.000001692678779e-06   1536   8   
8.700000762473792e-06   3456   12   
0.0008426999993389472   55296   48   
0.00010430000111227855   153600   80   
0.00010230000043520704   405600   130   
0.00018869999621529132   693600   170   
0.00034900000173365697   1500000   250   
0.0005275000003166497   2160000   300   
0.0016752000010455959   3840000   400   
0.0037478000012924895   6000000   500   
0.00636800000211224   8640000   600   
0.008859300003678072   11760000   700   
0.015576199999486562   15360000   800   
0.023114999996323604   21660000   950   
0.04624360000161687   34560000   1200   
0.08338110000477172   54000000   1500   
0.14401390000421088   77760000   1800   
0.15940910000063013   96000000   2000   
0.25357800000347197   121500000   2250   
0.3159066000007442   150000000   2500   
0.5618060999986483   216000000   3000   
0.9109881999975187   294000000   3500   
1.3200326000005589   384000000   4000   
2.5048776999974507   600000000   5000   
5.540766600002826   1014000000   6500   
8.368602000002284   1350000000   7500   
20.157632000002195   2400000000   10000   
0.06328039999789326   24   1   
2.769999991869554e-05   96   2   
5.800000508315861e-06   384   4   
9.400006092619151e-06   864   6   
1.0399999155197293e-05   1536   8   
8.000002708286047e-06   3456   12   
0.0001047000041580759   55296   48   
5.3300005674827844e-05   153600   80   
8.990000060293823e-05   405600   130   
0.00017700000171316788   693600   170   
0.00039670000114711   1500000   250   
0.0006190999993123114   2160000   300   
0.0017963999998755753   3840000   400   
0.0032242000015685335   6000000   500   
0.005587800005741883   8640000   600   
0.009492099998169579   11760000   700   
0.012832499996875413   15360000   800   
0.02198569999745814   21660000   950   
0.03700910000043223   34560000   1200   
0.10189459999674   54000000   1500   
0.1246476000014809   77760000   1800   
0.17728169999463717   96000000   2000   
0.2563434999974561   121500000   2250   
0.35321100000146544   150000000   2500   
0.55988680000155   216000000   3000   
0.8769887999951607   294000000   3500   
1.3371632000053069   384000000   4000   
2.6456675000008545   600000000   5000   
5.442015699998592   1014000000   6500   
8.422146099997917   1350000000   7500   
20.218998200005444   2400000000   10000   
0.06495530000393046   24   1   
2.7300004148855805e-05   96   2   
5.200003215577453e-06   384   4   
3.7999998312443495e-06   864   6   
4.399997123982757e-06   1536   8   
6.900001608300954e-06   3456   12   
0.0006187000035424717   55296   48   
8.259999594883993e-05   153600   80   
8.600000001024455e-05   405600   130   
0.00018880000425269827   693600   170   
0.00033229999826289713   1500000   250   
